"","logFC","logCPM","LR","PValue","FDR","transcript"
"tRF-50-JY7383RPD9W1X6L85J3K",1.15660992493181,5.90841907194665,3.87824367661276,0.0489157028461366,0.16153557684073,"tRF-50-JY7383RPD9W1X6L85J3K"
"tRF-33-V6Z3M8ZLSSXUD6",1.20206552412981,6.85139554793833,3.81492472693014,0.0507978875748574,0.167021417881675,"tRF-33-V6Z3M8ZLSSXUD6"
"tRF-31-51MLHVHBEXBIE",-1.16657770719967,5.95944949366036,3.81351214243139,0.0508407399331744,0.167021417881675,"tRF-31-51MLHVHBEXBIE"
"tRF-32-QKF1R3WE8RO84",1.28198502187409,8.79864269487178,3.8092924360576,0.0509689772878351,0.167021417881675,"tRF-32-QKF1R3WE8RO84"
"tRF-32-51MLHVHBEXBIQ",-1.2148791790655,7.34042918826836,3.79312429486241,0.0514635036664444,0.168210633467304,"tRF-32-51MLHVHBEXBIQ"
"tRF-49-PNR8YP9LON4V4REH621K",1.20228619368208,7.08131876906141,3.77569016377897,0.0520024434484923,0.169538578385646,"tRF-49-PNR8YP9LON4V4REH621K"
"tRF-35-B162XB0ZZRD226",-1.20827216661723,7.07578213700863,3.76351395906908,0.0523823849500037,0.169921214408121,"tRF-35-B162XB0ZZRD226"
"tRF-19-UJJKIWIZ",1.13151060384805,6.07504122996766,3.76340728529199,0.0523857265076681,0.169921214408121,"tRF-19-UJJKIWIZ"
"tRF-32-2VR008R959KUK",-1.15000488297178,6.29451549424414,3.75286134096313,0.0527171946329725,0.170563480356807,"tRF-32-2VR008R959KUK"
"tRF-22-WB86Q3P92",1.15922251712175,5.74333272958113,3.74607917111196,0.0529315365021895,0.170824504166157,"tRF-22-WB86Q3P92"
"tRF-38-31QJ3KYUYRR6RBD2",-1.14055690038821,6.2931092275776,3.71726932677664,0.0538523738464765,0.172622079075225,"tRF-38-31QJ3KYUYRR6RBD2"
"tRF-31-897PVP941QKSD",1.12724165366113,6.14116076591269,3.71380060145026,0.0539643824107022,0.172622079075225,"tRF-31-897PVP941QKSD"
"tRF-32-Q1Q89P9L8422Q",1.21891625690334,7.91523345784264,3.71145524184599,0.054040256226716,0.172622079075225,"tRF-32-Q1Q89P9L8422Q"
"tRF-19-DD1KYK15",-1.17783148146397,6.55883737627585,3.70988803676601,0.0540910192576742,0.172622079075225,"tRF-19-DD1KYK15"
"tRF-25-NBDWY2MJ8F",-1.14240261718116,6.10128295867961,3.70454010579805,0.0542646237448678,0.172622079075225,"tRF-25-NBDWY2MJ8F"
