"","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"tRF-16-MNH5SYD",2,1,1,0,1,4,0,1
"tRF-16-MPW4PU0",0,0,1,1,0,0,0,0
"tRF-16-MQ5JK80",1,2,1,1,0,1,1,1
"tRF-16-MQ6KM80",1,0,0,0,0,0,0,0
"tRF-16-NB8PLMD",0,0,2,0,0,0,0,0
"tRF-16-NKMB01B",0,0,0,0,0,1,0,0
"tRF-16-NPLPMJB",1,0,0,0,0,0,0,0
"tRF-16-NPSV9ND",0,0,0,0,0,0,1,0
"tRF-16-NVORRND",0,0,2,0,1,0,0,0
"tRF-16-NY2V7KE",3,1,2,0,0,0,0,0
"tRF-16-NYDRFUE",2,0,0,1,1,0,1,0
"tRF-16-NYRV500",0,0,0,1,0,0,0,1
"tRF-16-O045DBD",0,1,0,3,1,0,1,1
"tRF-16-O0789ND",1,0,1,0,0,0,1,0
"tRF-16-O2Z0R90",2,0,0,0,0,0,0,0
"tRF-16-O2ZFR90",0,0,0,0,1,0,0,0
"tRF-16-O7M8LOE",0,0,0,0,0,0,0,1
"tRF-16-OB9ZFH0",0,3,0,1,2,4,1,2
"tRF-16-ODMJ6BD",0,1,0,1,0,0,1,1
"tRF-16-OKNH990",1,0,0,0,0,0,0,0
"tRF-16-OMEMR3D",0,0,0,0,1,0,0,0
"tRF-16-OMK1QVD",0,0,0,1,1,0,0,0
"tRF-16-OOJ0QXD",0,0,0,0,0,0,1,2
"tRF-16-ORNQY1D",0,0,1,0,0,0,0,0
"tRF-16-OSRNLND",1,0,2,0,1,1,1,0
"tRF-16-P5QK11D",0,0,0,0,0,1,0,0
"tRF-16-PJ5830E",2,1,5,1,1,0,3,1
"tRF-16-PJB7MND",0,2,0,0,0,1,0,1
"tRF-16-PORS93E",0,0,0,0,0,0,1,0
"tRF-16-PORSM3E",0,0,0,0,1,1,0,1
"tRF-16-PSQP4PE",10,15,7,12,16,15,9,14
"tRF-16-PSR9O9D",0,0,0,0,0,1,0,0
"tRF-16-PSSELQB",0,0,0,0,0,1,0,0
"tRF-16-PURYX3E",1,1,1,0,0,0,0,0
"tRF-16-PYRP4PE",0,0,0,0,1,0,0,0
"tRF-16-Q01L7KB",0,0,0,0,0,0,1,0
"tRF-16-Q01LQKB",0,2,0,1,1,4,4,1
"tRF-16-Q01M3KE",0,2,0,1,1,0,2,0
"tRF-16-Q1Q89PE",0,0,1,0,0,0,1,0
"tRF-16-Q2FWQ80",3,1,2,1,0,4,1,0
"tRF-16-Q4NKKQB",0,0,0,0,0,0,0,1
"tRF-16-Q622EVE",1,44,0,26,43,45,23,32
"tRF-16-Q72S3H0",0,0,1,0,0,1,1,0
"tRF-16-QB1MK8E",17,3,26,4,5,5,5,8
"tRF-16-QD3KYUE",0,1,0,0,0,0,0,0
"tRF-16-QE30YOB",0,0,0,0,1,0,0,0
"tRF-16-QJ3KYUD",0,6,0,0,5,6,6,1
"tRF-16-QJ3KYUE",1,0,0,0,1,0,1,1
"tRF-16-QR535ZE",0,1,0,0,0,0,0,0
"tRF-16-QV7NLED",0,0,0,0,0,1,0,0
"tRF-16-QZRK7SB",0,0,0,0,0,0,1,0
"tRF-16-R008R90",3,0,0,0,1,1,1,0
"tRF-16-R29P4PE",20,10,29,12,21,10,20,19
"tRF-16-R2IP4O0",6,4,2,0,7,7,5,5
"tRF-16-R2IPKO0",0,0,0,0,0,0,0,1
"tRF-16-R2Z4R90",0,0,2,0,0,0,0,2
"tRF-16-R3IEWS0",6,0,3,0,1,1,0,0
"tRF-16-R3VJ4ZE",1,0,0,1,0,0,0,0
"tRF-16-R4NPNNB",0,0,0,0,0,0,0,1
"tRF-16-R4XLR8D",0,0,1,0,0,0,0,0
"tRF-16-R7DJQV0",0,0,1,0,0,0,0,0
