"","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"tRF-16-XEKJ5R0",1,1,13,1,1,1
"tRF-16-XU53F80",2,0,0,0,0,1
"tRF-16-Y0QN6IE",1,0,0,0,0,0
"tRF-16-Y8L9810",2,0,48,2,2,3
"tRF-16-Y9PYKHD",3,0,0,2,2,0
"tRF-16-Y9Q9R4D",1,0,0,0,0,0
"tRF-16-YFLPD3D",1,0,0,0,0,0
"tRF-16-YJ83MIB",0,0,0,0,0,2
"tRF-16-YKISQID",65,32,65,34,21,6
"tRF-16-YPSV17D",2,1,0,1,0,0
"tRF-16-YR66EFD",1,0,7,0,1,0
"tRF-16-YRI7XUD",2,1,7,2,2,5
"tRF-16-YRLHR0D",4,0,0,0,0,0
"tRF-16-YRRHQFD",157,112,101,165,90,20
"tRF-16-YSQSD2D",21,5,68,8,4,12
"tRF-16-YU4RRQ0",0,0,4,0,0,0
"tRF-16-YU4RRW0",0,1,0,1,0,0
"tRF-16-YU8R6QD",0,2,2,0,1,0
"tRF-16-YU8RSH0",0,0,2,0,0,0
"tRF-16-YUP90Y0",0,0,5,0,0,0
"tRF-16-YUYRLH0",0,2,0,1,0,0
"tRF-16-YYS9MQ0",0,0,1,0,0,0
"tRF-16-Z343RQ0",2,2,20,2,0,4
"tRF-16-Z90668D",1,0,3,0,1,2
"tRF-16-ZDL9X1B",124,62,774,73,72,129
"tRF-16-ZKRNLND",1,0,0,0,0,0
"tRF-16-ZKXU53D",0,0,0,1,0,0
"tRF-16-ZVEH93E",1,0,0,0,0,0
"tRF-17-026ZEDJ",0,0,0,0,0,1
"tRF-17-07QSNHJ",39,18,21,20,14,6
"tRF-17-08F4BD3",0,1,0,0,0,0
"tRF-17-08P2F52",80,69,50,40,27,2
"tRF-17-08Q2B52",1912,998,1393,1383,702,200
"tRF-17-09Z51UJ",0,0,1,0,0,0
"tRF-17-0HJBRRP",4,1,16,1,2,6
"tRF-17-0JVRI85",1,0,0,0,0,1
"tRF-17-0P5830P",4,0,10,5,4,1
"tRF-17-0RSSX7J",9,1,5,8,1,0
"tRF-17-0RYNUR2",1,0,0,0,1,0
"tRF-17-0UFMQKQ",0,0,3,0,0,0
"tRF-17-0UQ2B52",1,1,1,0,0,2
"tRF-17-0VL8K8N",1,1,0,0,0,0
"tRF-17-0Y3KQ92",0,2,17,4,2,6
"tRF-17-10H7RNK",1,0,3,0,0,0
"tRF-17-1293WE5",1,0,8,1,1,0
"tRF-17-18V0LQM",1,0,0,0,0,0
"tRF-17-18VUY9M",0,0,0,1,1,0
"tRF-17-1EWJQ72",22,11,41,24,12,0
"tRF-17-1HPSR9L",2,0,0,0,0,0
"tRF-17-1IK34ZK",0,0,2,0,0,1
"tRF-17-1LQH833",0,0,0,1,0,0
"tRF-17-1OHE103",1,0,4,0,0,0
"tRF-17-1QKS3W2",0,0,0,0,1,0
"tRF-17-1R338B5",0,0,4,0,0,0
"tRF-17-1RMH5MM",0,0,0,1,0,0
"tRF-17-1SS2P44",0,0,4,0,0,0
"tRF-17-23489BJ",0,0,3,0,0,0
"tRF-17-245J7KQ",0,0,2,0,1,0
"tRF-17-24OUQH3",2,1,0,1,0,2
"tRF-17-2E2WMK5",0,0,3,0,0,0
"tRF-17-2E489BJ",0,2,0,0,0,0
"tRF-17-2E4V9KJ",0,0,0,1,0,0
"tRF-17-2EK8E0J",0,0,0,2,0,0
"tRF-17-2F5JYH1",0,0,2,0,0,0
"tRF-17-2J1Y0S4",1,0,0,0,0,0
"tRF-17-2MRXQHQ",0,0,0,0,2,0
"tRF-17-2P7SDRP",0,0,0,1,0,0
"tRF-17-2QW1YFK",0,0,7,0,0,0
"tRF-17-2S3HPS4",0,0,7,0,0,1
"tRF-17-2VO0SRK",0,0,3,0,0,0
"tRF-17-2WNIYFK",4,0,16,0,0,1
"tRF-17-2WW18FK",0,0,19,0,0,0
"tRF-17-31QJ3KQ",1,1,4,0,0,0
"tRF-17-3282FNL",0,0,0,1,0,1
"tRF-17-365K652",0,0,6,1,0,0
"tRF-17-37YF7D2",5,3,9,6,4,2
"tRF-17-396YYBK",0,0,3,0,0,0
"tRF-17-3JVIJM4",0,0,4,0,0,0
"tRF-17-3L90Q44",1,0,0,0,0,0
"tRF-17-3XRSN35",2,0,4,1,0,0
"tRF-17-409Z7KQ",0,1,0,0,0,0
"tRF-17-45LSM1K",24,3,20,9,5,7
"tRF-17-46S9Y8H",0,0,8,0,0,0
"tRF-17-46SQYUP",0,0,20,0,0,0
"tRF-17-490VL8J",2,1,21,0,3,4
"tRF-17-4BRRN35",0,0,0,0,1,1
"tRF-17-4E6L1FQ",0,0,1,1,0,0
"tRF-17-4E6L1H5",0,0,2,0,0,0
"tRF-17-4O77R7J",0,0,0,0,1,0
"tRF-17-4RP166J",0,0,0,1,0,0
"tRF-17-4RRWRBJ",2,3,0,2,0,0
"tRF-17-4YMY91M",0,0,4,0,1,0
