"","logFC","logCPM","LR","PValue","FDR","transcript"
"hsa-miR-99b-5p",-0.292627107905856,13.1327796837398,0.993599568316604,0.318864197104028,0.605834984148738,"hsa-miR-99b-5p"
"hsa-miR-574-5p",0.389895542476244,4.75261860035006,0.976608254527207,0.323037610478656,0.605834984148738,"hsa-miR-574-5p"
"hsa-miR-874-3p",-0.288332044645638,8.78859196162895,0.968577131300718,0.325035294756291,0.605834984148738,"hsa-miR-874-3p"
"hsa-miR-550a-5p",-0.429810049502427,4.02749184096563,0.96572023292781,0.325749864789198,0.605834984148738,"hsa-miR-550a-5p"
"hsa-miR-935",0.374442260144567,5.28411850173244,0.962027977325824,0.326676458725204,0.605834984148738,"hsa-miR-935"
"hsa-miR-491-5p",0.370872360252368,5.66372434493224,0.954398994647028,0.328602093027604,0.605834984148738,"hsa-miR-491-5p"
"hsa-miR-124-5p",0.341517505655137,7.20555343942786,0.952318712137192,0.329129790558548,0.605834984148738,"hsa-miR-124-5p"
"hsa-miR-99b-3p",-0.285397846721941,9.62493603893061,0.951012105219363,0.329461808390164,0.605834984148738,"hsa-miR-99b-3p"
"hsa-miR-210-3p",-0.353842338196495,6.56636849241821,0.929993885300271,0.334864513984926,0.612865242576185,"hsa-miR-210-3p"
"hsa-miR-130b-3p",0.32223524005074,7.18436734607152,0.844808792337638,0.358025065632184,0.652177114860505,"hsa-miR-130b-3p"
"hsa-miR-4286",0.373238270637879,4.45518493694809,0.835062088171479,0.360812845736712,0.652912926324649,"hsa-miR-4286"
"hsa-miR-4473",0.362685075935356,4.70315217295595,0.831654552282991,0.361794533917009,0.652912926324649,"hsa-miR-4473"
"hsa-miR-18a-5p",-0.333197736759674,6.44359514129295,0.81068868127202,0.36791672018554,0.660887441814766,"hsa-miR-18a-5p"
"hsa-miR-374b-3p",-0.316167228916042,7.0647059177089,0.791379426317611,0.373683342964372,0.665665720935691,"hsa-miR-374b-3p"
"hsa-miR-411-5p",0.356461041906815,4.55252596619339,0.79030452505358,0.374008059700981,0.665665720935691,"hsa-miR-411-5p"
"hsa-miR-548o-3p",-0.345708790348934,4.96145727873895,0.783831758843895,0.375971807600278,0.66610530296305,"hsa-miR-548o-3p"
"hsa-miR-107",0.257516303230601,11.0508461250153,0.764230681834952,0.382007775906816,0.668650138842811,"hsa-miR-107"
"hsa-miR-25-5p",0.347221701964688,4.71674770803746,0.762825606670118,0.382445700309907,0.668650138842811,"hsa-miR-25-5p"
"hsa-miR-486-5p",0.254828161253916,9.48317255559933,0.759951089776926,0.38334382940942,0.668650138842811,"hsa-miR-486-5p"
"hsa-miR-135a-5p",0.255591186860167,11.6794857462891,0.7568965195629,0.384301497324605,0.668650138842811,"hsa-miR-135a-5p"
"hsa-miR-641",-0.330960847116564,5.22438969961771,0.750248051282135,0.386397707633729,0.669296029294137,"hsa-miR-641"
"hsa-miR-217-5p",0.251977876145102,12.5959479952715,0.739225282202149,0.389909160904623,0.672376686359973,"hsa-miR-217-5p"
"hsa-miR-16-5p",0.254899916030972,8.47131949795351,0.707279638972946,0.400348387727332,0.687323780700021,"hsa-miR-16-5p"
"hsa-miR-885-5p",0.315438074587609,6.05155536587652,0.69182529127245,0.405544224568928,0.692191480580213,"hsa-miR-885-5p"
"hsa-miR-330-5p",0.260973854004465,8.1398477394154,0.688275125600094,0.406751694773939,0.692191480580213,"hsa-miR-330-5p"
"hsa-miR-140-3p",0.239531597414206,9.53025299652951,0.67187440269368,0.41239886732103,0.698736945504627,"hsa-miR-140-3p"
"hsa-miR-744-3p",-0.329248672368084,4.50737557387299,0.654548755471317,0.418491060057084,0.705976223052819,"hsa-miR-744-3p"
"hsa-miR-20a-5p",0.234024958154857,10.957143485816,0.6308244072805,0.427053077096855,0.715637037481244,"hsa-miR-20a-5p"
"hsa-miR-323b-3p",0.32457215682199,4.29576228136964,0.626583957473503,0.428611116356931,0.715637037481244,"hsa-miR-323b-3p"
"hsa-miR-3115",0.377126136935674,3.51503028743356,0.623496005562845,0.429751107559613,0.715637037481244,"hsa-miR-3115"
"hsa-miR-135a-3p",0.259068874287266,7.63014630657124,0.603403857726961,0.437282239403325,0.72506627730124,"hsa-miR-135a-3p"
"hsa-miR-654-3p",0.293330345475296,5.20301847101876,0.597731808379933,0.439444754886494,0.725551339982807,"hsa-miR-654-3p"
"hsa-miR-320e",0.36536416111416,3.50479713904711,0.590299709440281,0.442303246337329,0.727176523639338,"hsa-miR-320e"
"hsa-miR-146b-5p",0.236569795012431,8.18896071410071,0.571802202100295,0.449543656742475,0.733639158267998,"hsa-miR-146b-5p"
"hsa-miR-7706",-0.285947389621233,5.94218728456941,0.570612136010791,0.450015772339648,0.733639158267998,"hsa-miR-7706"
"hsa-miR-183-5p",-0.28331888523446,6.03055159781093,0.56005323825902,0.454238792860987,0.737425320627878,"hsa-miR-183-5p"
"hsa-miR-130b-5p",-0.218656756459026,10.2979479682075,0.552075822625426,0.457470752487957,0.739577716522197,"hsa-miR-130b-5p"
"hsa-miR-16-2-3p",-0.273207267753126,6.17496411279688,0.522228089380182,0.469892786975507,0.754394928636992,"hsa-miR-16-2-3p"
"hsa-miR-454-3p",-0.213875962319119,8.67318596654273,0.520743561730399,0.470524671984928,0.754394928636992,"hsa-miR-454-3p"
"hsa-miR-551b-5p",0.300082749807207,4.20340810612785,0.505060232593058,0.477285098253167,0.756435984778259,"hsa-miR-551b-5p"
"hsa-miR-7-1-3p",-0.256886553160698,6.69713620279681,0.498923124167099,0.479973674595836,0.756435984778259,"hsa-miR-7-1-3p"
"hsa-miR-484",0.206829865353398,9.8644003696561,0.497890349215073,0.480428553970219,0.756435984778259,"hsa-miR-484"
"hsa-miR-92a-1-5p",-0.314870116320919,3.84799349427155,0.496464522022579,0.48105771339006,0.756435984778259,"hsa-miR-92a-1-5p"
"hsa-miR-423-5p",-0.206723166280074,10.4019078624565,0.492589912726331,0.482774272793905,0.756435984778259,"hsa-miR-423-5p"
"hsa-miR-125b-5p",0.206276931951394,14.2641391222665,0.490969467810373,0.483495165528372,0.756435984778259,"hsa-miR-125b-5p"
