"","X.miRNA","precursor","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"2508","hsa-miR-6820-3p","hsa-mir-6820","1","0","0","1","0","0"
"2509","hsa-miR-6821-5p","hsa-mir-6821","0","0","0","0","0","0"
"2510","hsa-miR-6821-3p","hsa-mir-6821","0","0","0","0","0","0"
"2511","hsa-miR-6822-5p","hsa-mir-6822","0","0","0","0","0","0"
"2512","hsa-miR-6822-3p","hsa-mir-6822","0","0","0","0","0","0"
"2513","hsa-miR-6823-5p","hsa-mir-6823","0","0","0","0","0","0"
"2514","hsa-miR-6823-3p","hsa-mir-6823","0","0","0","0","0","0"
"2515","hsa-miR-6824-5p","hsa-mir-6824","0","0","0","0","0","0"
"2516","hsa-miR-6824-3p","hsa-mir-6824","0","0","0","0","0","0"
"2517","hsa-miR-6825-5p","hsa-mir-6825","1","0","0","0","2","3"
"2518","hsa-miR-6825-3p","hsa-mir-6825","0","0","0","0","0","0"
"2519","hsa-miR-6826-5p","hsa-mir-6826","0","0","0","0","0","0"
"2520","hsa-miR-6826-3p","hsa-mir-6826","0","0","0","1","0","0"
"2521","hsa-miR-6827-5p","hsa-mir-6827","0","0","0","0","1","0"
"2522","hsa-miR-6827-3p","hsa-mir-6827","0","0","0","0","0","0"
"2523","hsa-miR-6828-5p","hsa-mir-6828","0","0","0","0","0","0"
"2524","hsa-miR-6828-3p","hsa-mir-6828","0","0","0","0","0","0"
"2525","hsa-miR-6829-5p","hsa-mir-6829","4","1","2","1","0","0"
"2526","hsa-miR-6829-3p","hsa-mir-6829","0","0","0","0","0","0"
"2527","hsa-miR-6830-5p","hsa-mir-6830","0","0","0","0","0","0"
"2528","hsa-miR-6830-3p","hsa-mir-6830","0","0","0","0","0","0"
"2529","hsa-miR-6831-5p","hsa-mir-6831","0","1","4","1","1","0"
"2530","hsa-miR-6831-3p","hsa-mir-6831","0","0","0","0","0","0"
"2531","hsa-miR-6832-5p","hsa-mir-6832","0","0","0","0","1","1"
"2532","hsa-miR-6832-3p","hsa-mir-6832","0","0","0","0","0","0"
"2533","hsa-miR-6833-5p","hsa-mir-6833","1","0","0","0","0","1"
"2534","hsa-miR-6833-3p","hsa-mir-6833","0","0","0","0","0","0"
"2535","hsa-miR-6834-5p","hsa-mir-6834","0","0","0","0","0","0"
"2536","hsa-miR-6834-3p","hsa-mir-6834","0","0","0","0","1","1"
