"","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"tRF-16-ORNQY1D",0,0,3.51,0,0,0,0,0
"tRF-16-OSRNLND",3.04,0,7.02,0,4.42,4.46,4.57,0
"tRF-16-P5QK11D",0,0,0,0,0,4.46,0,0
"tRF-16-PJ5830E",6.08,5.12,17.55,6.43,4.42,0,13.7,3.89
"tRF-16-PJB7MND",0,10.25,0,0,0,4.46,0,3.89
"tRF-16-PORS93E",0,0,0,0,0,0,4.57,0
"tRF-16-PORSM3E",0,0,0,0,4.42,4.46,0,3.89
"tRF-16-PSQP4PE",30.41,76.87,24.57,77.13,70.66,66.84,41.1,54.5
"tRF-16-PSR9O9D",0,0,0,0,0,4.46,0,0
"tRF-16-PSSELQB",0,0,0,0,0,4.46,0,0
"tRF-16-PURYX3E",3.04,5.12,3.51,0,0,0,0,0
"tRF-16-PYRP4PE",0,0,0,0,4.42,0,0,0
"tRF-16-Q01L7KB",0,0,0,0,0,0,4.57,0
"tRF-16-Q01LQKB",0,10.25,0,6.43,4.42,17.82,18.27,3.89
"tRF-16-Q01M3KE",0,10.25,0,6.43,4.42,0,9.13,0
"tRF-16-Q1Q89PE",0,0,3.51,0,0,0,4.57,0
"tRF-16-Q2FWQ80",9.12,5.12,7.02,6.43,0,17.82,4.57,0
"tRF-16-Q4NKKQB",0,0,0,0,0,0,0,3.89
"tRF-16-Q622EVE",3.04,225.5,0,167.11,189.9,200.53,105.05,124.56
"tRF-16-Q72S3H0",0,0,3.51,0,0,4.46,4.57,0
"tRF-16-QB1MK8E",51.7,15.37,91.25,25.71,22.08,22.28,22.84,31.14
"tRF-16-QD3KYUE",0,5.12,0,0,0,0,0,0
"tRF-16-QE30YOB",0,0,0,0,4.42,0,0,0
"tRF-16-QJ3KYUD",0,30.75,0,0,22.08,26.74,27.4,3.89
"tRF-16-QJ3KYUE",3.04,0,0,0,4.42,0,4.57,3.89
"tRF-16-QR535ZE",0,5.12,0,0,0,0,0,0
"tRF-16-QV7NLED",0,0,0,0,0,4.46,0,0
"tRF-16-QZRK7SB",0,0,0,0,0,0,4.57,0
"tRF-16-R008R90",9.12,0,0,0,4.42,4.46,4.57,0
"tRF-16-R29P4PE",60.83,51.25,101.78,77.13,92.74,44.56,91.34,73.96
"tRF-16-R2IP4O0",18.25,20.5,7.02,0,30.91,31.19,22.84,19.46
"tRF-16-R2IPKO0",0,0,0,0,0,0,0,3.89
"tRF-16-R2Z4R90",0,0,7.02,0,0,0,0,7.79
"tRF-16-R3IEWS0",18.25,0,10.53,0,4.42,4.46,0,0
"tRF-16-R3VJ4ZE",3.04,0,0,6.43,0,0,0,0
"tRF-16-R4NPNNB",0,0,0,0,0,0,0,3.89
"tRF-16-R4XLR8D",0,0,3.51,0,0,0,0,0
